Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Cleaned_Text,Tokens,Tokens_No_Stopwords,Stemmed,Lemmatized,Processed_Text,TextBlob_Sentiment,VADER_Sentiment,Sentiment_Score,Mapped_Sentiment,ML_Prediction
just published a new blog post. check it out!,Positive,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22.0,45.0,USA,2023,1,17,15,just published a new blog post check it out,"['just', 'published', 'a', 'new', 'blog', 'post', 'check', 'it', 'out']","['published', 'new', 'blog', 'post', 'check']","['publish', 'new', 'blog', 'post', 'check']","['published', 'new', 'blog', 'post', 'check']",published new blog post check,Positive,Neutral,0.0,Positive,Positive
feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7.0,15.0,Canada,2023,1,18,10,feeling a bit under the weather today,"['feeling', 'a', 'bit', 'under', 'the', 'weather', 'today']","['feeling', 'bit', 'weather', 'today']","['feel', 'bit', 'weather', 'today']","['feeling', 'bit', 'weather', 'today']",feeling bit weather today,Neutral,Positive,0.128,Negative,Negative
exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12.0,25.0,UK,2023,1,18,14,exploring the citys hidden gems,"['exploring', 'the', 'citys', 'hidden', 'gems']","['exploring', 'citys', 'hidden', 'gems']","['explor', 'citi', 'hidden', 'gem']","['exploring', 'city', 'hidden', 'gem']",exploring city hidden gem,Negative,Neutral,0.0,Positive,Positive
"new year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28.0,55.0,USA,2023,1,18,18,new year new fitness goals,"['new', 'year', 'new', 'fitness', 'goals']","['new', 'year', 'new', 'fitness', 'goals']","['new', 'year', 'new', 'fit', 'goal']","['new', 'year', 'new', 'fitness', 'goal']",new year new fitness goal,Positive,Positive,0.2732,Positive,Positive
technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,2023,1,19,9,technology is changing the way we live,"['technology', 'is', 'changing', 'the', 'way', 'we', 'live']","['technology', 'changing', 'way', 'live']","['technolog', 'chang', 'way', 'live']","['technology', 'changing', 'way', 'live']",technology changing way live,Positive,Neutral,0.0,Neutral,Neutral
reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20.0,40.0,USA,2023,1,19,13,reflecting on the past and looking ahead,"['reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead']","['reflecting', 'past', 'looking', 'ahead']","['reflect', 'past', 'look', 'ahead']","['reflecting', 'past', 'looking', 'ahead']",reflecting past looking ahead,Negative,Neutral,0.0,Positive,Positive
just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15.0,30.0,Canada,2023,1,19,17,just adopted a cute furry friend,"['just', 'adopted', 'a', 'cute', 'furry', 'friend']","['adopted', 'cute', 'furry', 'friend']","['adopt', 'cute', 'furri', 'friend']","['adopted', 'cute', 'furry', 'friend']",adopted cute furry friend,Positive,Positive,0.7351,Positive,Positive
late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18.0,35.0,UK,2023,1,20,0,latenight gaming session with friends,"['latenight', 'gaming', 'session', 'with', 'friends']","['latenight', 'gaming', 'session', 'friends']","['latenight', 'game', 'session', 'friend']","['latenight', 'gaming', 'session', 'friend']",latenight gaming session friend,Neutral,Positive,0.4939,Positive,Positive
attending a virtual conference on ai.,Neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25.0,50.0,USA,2023,1,20,11,attending a virtual conference on ai,"['attending', 'a', 'virtual', 'conference', 'on', 'ai']","['attending', 'virtual', 'conference', 'ai']","['attend', 'virtual', 'confer', 'ai']","['attending', 'virtual', 'conference', 'ai']",attending virtual conference ai,Neutral,Neutral,0.0,Neutral,Positive
winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8.0,15.0,USA,2023,1,20,15,winter blues got me feeling low,"['winter', 'blues', 'got', 'me', 'feeling', 'low']","['winter', 'blues', 'got', 'feeling', 'low']","['winter', 'blue', 'got', 'feel', 'low']","['winter', 'blue', 'got', 'feeling', 'low']",winter blue got feeling low,Neutral,Negative,-0.1531,Negative,Negative
sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22.0,45.0,India,2023,1,21,8,sipping coffee and enjoying a good book,"['sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book']","['sipping', 'coffee', 'enjoying', 'good', 'book']","['sip', 'coffe', 'enjoy', 'good', 'book']","['sipping', 'coffee', 'enjoying', 'good', 'book']",sipping coffee enjoying good book,Positive,Positive,0.743,Positive,Positive
exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15.0,30.0,USA,2023,1,21,13,exploring the world of virtual reality,"['exploring', 'the', 'world', 'of', 'virtual', 'reality']","['exploring', 'world', 'virtual', 'reality']","['explor', 'world', 'virtual', 'realiti']","['exploring', 'world', 'virtual', 'reality']",exploring world virtual reality,Neutral,Neutral,0.0,Positive,Positive
productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30.0,60.0,USA,2023,1,21,16,productive day ticking off my todo list,"['productive', 'day', 'ticking', 'off', 'my', 'todo', 'list']","['productive', 'day', 'ticking', 'todo', 'list']","['product', 'day', 'tick', 'todo', 'list']","['productive', 'day', 'ticking', 'todo', 'list']",productive day ticking todo list,Neutral,Neutral,0.0,Positive,Positive
just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20.0,40.0,UK,2023,1,22,9,just finished a challenging workout routine,"['just', 'finished', 'a', 'challenging', 'workout', 'routine']","['finished', 'challenging', 'workout', 'routine']","['finish', 'challeng', 'workout', 'routin']","['finished', 'challenging', 'workout', 'routine']",finished challenging workout routine,Positive,Positive,0.1531,Positive,Positive
celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12.0,25.0,Canada,2023,1,22,14,celebrating a milestone at work,"['celebrating', 'a', 'milestone', 'at', 'work']","['celebrating', 'milestone', 'work']","['celebr', 'mileston', 'work']","['celebrating', 'milestone', 'work']",celebrating milestone work,Neutral,Positive,0.5719,Positive,Positive
sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15.0,30.0,UK,2023,1,22,12,sunday brunch with friends,"['sunday', 'brunch', 'with', 'friends']","['sunday', 'brunch', 'friends']","['sunday', 'brunch', 'friend']","['sunday', 'brunch', 'friend']",sunday brunch friend,Neutral,Positive,0.4939,Positive,Positive
learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25.0,50.0,India,2023,1,23,16,learning a new language for personal growth,"['learning', 'a', 'new', 'language', 'for', 'personal', 'growth']","['learning', 'new', 'language', 'personal', 'growth']","['learn', 'new', 'languag', 'person', 'growth']","['learning', 'new', 'language', 'personal', 'growth']",learning new language personal growth,Positive,Positive,0.3818,Positive,Positive
quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15.0,30.0,Australia,2023,1,23,19,quiet evening with a good book,"['quiet', 'evening', 'with', 'a', 'good', 'book']","['quiet', 'evening', 'good', 'book']","['quiet', 'even', 'good', 'book']","['quiet', 'evening', 'good', 'book']",quiet evening good book,Positive,Positive,0.4404,Positive,Positive
reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22.0,45.0,USA,2023,1,24,11,reflecting on the importance of mental health,"['reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health']","['reflecting', 'importance', 'mental', 'health']","['reflect', 'import', 'mental', 'health']","['reflecting', 'importance', 'mental', 'health']",reflecting importance mental health,Negative,Positive,0.3612,Positive,Positive
new painting in progress! 🎨,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12.0,25.0,Canada,2023,1,24,15,new painting in progress,"['new', 'painting', 'in', 'progress']","['new', 'painting', 'progress']","['new', 'paint', 'progress']","['new', 'painting', 'progress']",new painting progress,Positive,Positive,0.4215,Positive,Positive
weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18.0,35.0,UK,2023,1,24,17,weekend road trip to explore scenic views,"['weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views']","['weekend', 'road', 'trip', 'explore', 'scenic', 'views']","['weekend', 'road', 'trip', 'explor', 'scenic', 'view']","['weekend', 'road', 'trip', 'explore', 'scenic', 'view']",weekend road trip explore scenic view,Neutral,Neutral,0.0,Positive,Positive
enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15.0,30.0,India,2023,1,25,18,enjoying a cup of tea and watching the sunset,"['enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset']","['enjoying', 'cup', 'tea', 'watching', 'sunset']","['enjoy', 'cup', 'tea', 'watch', 'sunset']","['enjoying', 'cup', 'tea', 'watching', 'sunset']",enjoying cup tea watching sunset,Positive,Positive,0.5267,Positive,Positive
coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30.0,60.0,USA,2023,1,25,13,coding a new project with enthusiasm,"['coding', 'a', 'new', 'project', 'with', 'enthusiasm']","['coding', 'new', 'project', 'enthusiasm']","['code', 'new', 'project', 'enthusiasm']","['coding', 'new', 'project', 'enthusiasm']",coding new project enthusiasm,Positive,Positive,0.4404,Positive,Positive
feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25.0,50.0,USA,2023,1,26,9,feeling inspired after attending a workshop,"['feeling', 'inspired', 'after', 'attending', 'a', 'workshop']","['feeling', 'inspired', 'attending', 'workshop']","['feel', 'inspir', 'attend', 'workshop']","['feeling', 'inspired', 'attending', 'workshop']",feeling inspired attending workshop,Neutral,Positive,0.5719,Positive,Positive
winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15.0,30.0,Canada,2023,1,26,14,winter sports day at the local park,"['winter', 'sports', 'day', 'at', 'the', 'local', 'park']","['winter', 'sports', 'day', 'local', 'park']","['winter', 'sport', 'day', 'local', 'park']","['winter', 'sport', 'day', 'local', 'park']",winter sport day local park,Neutral,Neutral,0.0,Positive,Positive
quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22.0,45.0,UK,2023,1,26,17,quality time with family this weekend,"['quality', 'time', 'with', 'family', 'this', 'weekend']","['quality', 'time', 'family', 'weekend']","['qualiti', 'time', 'famili', 'weekend']","['quality', 'time', 'family', 'weekend']",quality time family weekend,Neutral,Neutral,0.0,Positive,Positive
attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18.0,35.0,USA,2023,1,27,20,attending a live music concert tonight,"['attending', 'a', 'live', 'music', 'concert', 'tonight']","['attending', 'live', 'music', 'concert', 'tonight']","['attend', 'live', 'music', 'concert', 'tonight']","['attending', 'live', 'music', 'concert', 'tonight']",attending live music concert tonight,Positive,Neutral,0.0,Positive,Positive
practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15.0,30.0,India,2023,1,27,12,practicing mindfulness with meditation,"['practicing', 'mindfulness', 'with', 'meditation']","['practicing', 'mindfulness', 'meditation']","['practic', 'mind', 'medit']","['practicing', 'mindfulness', 'meditation']",practicing mindfulness meditation,Neutral,Neutral,0.0,Positive,Positive
trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12.0,25.0,Canada,2023,1,27,16,trying out a new dessert recipe,"['trying', 'out', 'a', 'new', 'dessert', 'recipe']","['trying', 'new', 'dessert', 'recipe']","['tri', 'new', 'dessert', 'recip']","['trying', 'new', 'dessert', 'recipe']",trying new dessert recipe,Positive,Neutral,0.0,Positive,Positive
excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30.0,60.0,USA,2023,1,28,9,excited about the upcoming gaming tournament,"['excited', 'about', 'the', 'upcoming', 'gaming', 'tournament']","['excited', 'upcoming', 'gaming', 'tournament']","['excit', 'upcom', 'game', 'tournament']","['excited', 'upcoming', 'gaming', 'tournament']",excited upcoming gaming tournament,Positive,Positive,0.34,Positive,Positive
planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25.0,50.0,USA,2023,1,28,14,planning a garden makeover for spring,"['planning', 'a', 'garden', 'makeover', 'for', 'spring']","['planning', 'garden', 'makeover', 'spring']","['plan', 'garden', 'makeov', 'spring']","['planning', 'garden', 'makeover', 'spring']",planning garden makeover spring,Neutral,Neutral,0.0,Positive,Positive
celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15.0,30.0,UK,2023,1,28,19,celebrating a friends birthday tonight,"['celebrating', 'a', 'friends', 'birthday', 'tonight']","['celebrating', 'friends', 'birthday', 'tonight']","['celebr', 'friend', 'birthday', 'tonight']","['celebrating', 'friend', 'birthday', 'tonight']",celebrating friend birthday tonight,Neutral,Positive,0.7845,Positive,Positive
feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22.0,45.0,India,2023,1,29,17,feeling accomplished after a productive day,"['feeling', 'accomplished', 'after', 'a', 'productive', 'day']","['feeling', 'accomplished', 'productive', 'day']","['feel', 'accomplish', 'product', 'day']","['feeling', 'accomplished', 'productive', 'day']",feeling accomplished productive day,Positive,Positive,0.5267,Positive,Positive
a cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18.0,35.0,Canada,2023,1,29,20,a cozy evening with a good movie,"['a', 'cozy', 'evening', 'with', 'a', 'good', 'movie']","['cozy', 'evening', 'good', 'movie']","['cozi', 'even', 'good', 'movi']","['cozy', 'evening', 'good', 'movie']",cozy evening good movie,Positive,Positive,0.4404,Positive,Positive
exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15.0,30.0,USA,2023,1,30,11,exploring local art galleries this weekend,"['exploring', 'local', 'art', 'galleries', 'this', 'weekend']","['exploring', 'local', 'art', 'galleries', 'weekend']","['explor', 'local', 'art', 'galleri', 'weekend']","['exploring', 'local', 'art', 'gallery', 'weekend']",exploring local art gallery weekend,Neutral,Neutral,0.0,Positive,Positive
new book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12.0,25.0,UK,2023,1,30,15,new book release from my favorite author,"['new', 'book', 'release', 'from', 'my', 'favorite', 'author']","['new', 'book', 'release', 'favorite', 'author']","['new', 'book', 'releas', 'favorit', 'author']","['new', 'book', 'release', 'favorite', 'author']",new book release favorite author,Positive,Positive,0.4588,Positive,Positive
attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28.0,55.0,India,2023,1,30,18,attending a virtual reality meetup,"['attending', 'a', 'virtual', 'reality', 'meetup']","['attending', 'virtual', 'reality', 'meetup']","['attend', 'virtual', 'realiti', 'meetup']","['attending', 'virtual', 'reality', 'meetup']",attending virtual reality meetup,Neutral,Neutral,0.0,Positive,Positive
reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15.0,30.0,Australia,2023,1,31,10,reflecting on the beauty of nature,"['reflecting', 'on', 'the', 'beauty', 'of', 'nature']","['reflecting', 'beauty', 'nature']","['reflect', 'beauti', 'natur']","['reflecting', 'beauty', 'nature']",reflecting beauty nature,Neutral,Positive,0.5859,Positive,Positive
cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20.0,40.0,USA,2023,1,31,19,cooking a special dinner for loved ones,"['cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones']","['cooking', 'special', 'dinner', 'loved', 'ones']","['cook', 'special', 'dinner', 'love', 'one']","['cooking', 'special', 'dinner', 'loved', 'one']",cooking special dinner loved one,Positive,Positive,0.765,Positive,Positive
feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15.0,30.0,Canada,2023,1,31,16,feeling optimistic about the week ahead,"['feeling', 'optimistic', 'about', 'the', 'week', 'ahead']","['feeling', 'optimistic', 'week', 'ahead']","['feel', 'optimist', 'week', 'ahead']","['feeling', 'optimistic', 'week', 'ahead']",feeling optimistic week ahead,Neutral,Positive,0.4215,Positive,Positive
starting a new fitness challenge tomorrow! 💪,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22.0,45.0,UK,2023,2,1,8,starting a new fitness challenge tomorrow,"['starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow']","['starting', 'new', 'fitness', 'challenge', 'tomorrow']","['start', 'new', 'fit', 'challeng', 'tomorrow']","['starting', 'new', 'fitness', 'challenge', 'tomorrow']",starting new fitness challenge tomorrow,Positive,Positive,0.34,Positive,Positive
sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18.0,35.0,USA,2023,2,1,13,sunday bike ride through scenic trails,"['sunday', 'bike', 'ride', 'through', 'scenic', 'trails']","['sunday', 'bike', 'ride', 'scenic', 'trails']","['sunday', 'bike', 'ride', 'scenic', 'trail']","['sunday', 'bike', 'ride', 'scenic', 'trail']",sunday bike ride scenic trail,Neutral,Neutral,0.0,Positive,Positive
can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,#Injustice #Angry,20.0,40.0,Canada,2023,2,11,9,cant believe the injustice happening in our society,"['cant', 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society']","['cant', 'believe', 'injustice', 'happening', 'society']","['cant', 'believ', 'injustic', 'happen', 'societi']","['cant', 'believe', 'injustice', 'happening', 'society']",cant believe injustice happening society,Neutral,Positive,0.4585,Negative,Negative
feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15.0,30.0,USA,2023,2,11,21,feeling a sense of fear after watching a thriller movie,"['feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie']","['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie']","['feel', 'sens', 'fear', 'watch', 'thriller', 'movi']","['feeling', 'sense', 'fear', 'watching', 'thriller', 'movie']",feeling sense fear watching thriller movie,Neutral,Negative,-0.3182,Negative,Negative
heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25.0,50.0,India,2023,2,12,14,heartbroken after hearing the news about a natural disaster,"['heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster']","['heartbroken', 'hearing', 'news', 'natural', 'disaster']","['heartbroken', 'hear', 'news', 'natur', 'disast']","['heartbroken', 'hearing', 'news', 'natural', 'disaster']",heartbroken hearing news natural disaster,Positive,Negative,-0.7845,Negative,Positive
the state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18.0,35.0,UK,2023,2,12,18,the state of the worlds environment is just disgusting,"['the', 'state', 'of', 'the', 'worlds', 'environment', 'is', 'just', 'disgusting']","['state', 'worlds', 'environment', 'disgusting']","['state', 'world', 'environ', 'disgust']","['state', 'world', 'environment', 'disgusting']",state world environment disgusting,Negative,Negative,-0.5267,Negative,Positive
pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30.0,60.0,USA,2023,2,13,10,pure happiness celebrating a loved ones achievement,"['pure', 'happiness', 'celebrating', 'a', 'loved', 'ones', 'achievement']","['pure', 'happiness', 'celebrating', 'loved', 'ones', 'achievement']","['pure', 'happi', 'celebr', 'love', 'one', 'achiev']","['pure', 'happiness', 'celebrating', 'loved', 'one', 'achievement']",pure happiness celebrating loved one achievement,Positive,Positive,0.9042,Positive,Positive
laughter is the best medicine—enjoying a comedy show.,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,#Joy #ComedyShow,22.0,45.0,Canada,2023,2,13,19,laughter is the best medicineenjoying a comedy show,"['laughter', 'is', 'the', 'best', 'medicineenjoying', 'a', 'comedy', 'show']","['laughter', 'best', 'medicineenjoying', 'comedy', 'show']","['laughter', 'best', 'medicineenjoy', 'comedi', 'show']","['laughter', 'best', 'medicineenjoying', 'comedy', 'show']",laughter best medicineenjoying comedy show,Positive,Positive,0.872,Positive,Positive
sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,14,8,sharing love and positive vibes with everyone,"['sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone']","['sharing', 'love', 'positive', 'vibes', 'everyone']","['share', 'love', 'posit', 'vibe', 'everyon']","['sharing', 'love', 'positive', 'vibe', 'everyone']",sharing love positive vibe everyone,Positive,Positive,0.891,Positive,Positive
an amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18.0,35.0,UK,2023,2,14,14,an amusing incident brightened up my day,"['an', 'amusing', 'incident', 'brightened', 'up', 'my', 'day']","['amusing', 'incident', 'brightened', 'day']","['amus', 'incid', 'brighten', 'day']","['amusing', 'incident', 'brightened', 'day']",amusing incident brightened day,Positive,Positive,0.6908,Positive,Positive
enjoying a quiet evening with a book and some tea.,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25.0,50.0,Canada,2023,2,14,19,enjoying a quiet evening with a book and some tea,"['enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea']","['enjoying', 'quiet', 'evening', 'book', 'tea']","['enjoy', 'quiet', 'even', 'book', 'tea']","['enjoying', 'quiet', 'evening', 'book', 'tea']",enjoying quiet evening book tea,Positive,Positive,0.5267,Positive,Positive
